[2007-12-31 00:40:15 201.83.4.114   ] login ok
[2007-12-31 00:44:12 201.83.4.114   ] login ok
[2007-12-31 01:16:45 201.83.4.114   ] UPDATE comment SET aprovado = "1" WHERE id = 225
[2007-12-31 01:25:16 201.83.4.114   ] INSERT INTO post (titulo, url, data, texto) VALUES ("O Ruidoso Soar das Prensas", "o_ruidoso_soar_das_prensas", "2008-12-31 00:44", "Quero come&ccedil;ar o post dessa semana me desculpando com meus amigos leitores. Como voc&ecirc;s devem ter percebido o blog passou toda a semana fora do ar por conta de dificuldades t&eacute;cnicas. O servidor que hospeda o site realizou alguma atualiza&ccedil;&atilde;o no sistema de banco de dados impedindo o acesso ao site (basicamente eles trancaram a porta do blog, trocaram a fechadura e n&atilde;o me deram a chave nova). Foi uma longa semana de discuss&atilde;o entre meu webmaster e o suporte at&eacute; normalizar o blog agora a noite.\r\n\r\nVencido esse problema a raz&atilde;o do post dessa semana n&atilde;o podeira ser outra sen&atilde;o o encerramento de uma nova etapa, sen&atilde;o a mais penosa de todas elas, a impress&atilde;o da nova edi&ccedil;&atilde;o corrigida do meu livro. \r\n\r\nEstive na Palas Athena (a gr&aacute;fica respons&aacute;vel pela impress&atilde;o do livro) no dia 19/12 onde tive a oportunidade de ver meu livro \&quot;nascendo\&quot;. &Eacute; dificl explicar a emo&ccedil;&atilde;o de ver aquela montanha de papel rodando em m&aacute;quinas imensas e barulhentas virando o sonho de tantos anos. Eu me aproximava dos palets recheados com as folhas do livro e olhava curioso para ver qual p&aacute;gina era aquela que estava por cima, qual das cenas que eu havia escrito a tanto tempo encontrava-se ali. \r\n\r\nPor fim (e a principal raz&atilde;o da minha visita) fui aprovar a capa que saia em quantidades enormes cada vez que o t&eacute;cnico ajustava algo na cor. &Eacute; at&eacute; curioso pois o primeiro ajuste de capa s&atilde;o das cores azul e amarelas e logo num primeiro momento ela s&oacute; sai dessa forma. Ap&oacute;s alguns testes e ajustes o t&eacute;cnico olhou para mim e perguntou. \r\n - E ent&atilde;o, o que acha da cor? esta bom nesse tom?\r\nEu olhei mei perplexo para o papel com duas cores e meio incerto respondi\r\n - Bem...n&atilde;o sei, esta azul\!\!\! Deve esta bom.\r\nO t&eacute;cnico deu um sorriso confiante de quem as vezes esquece que nem todo mundo consegue ver a capa da mesma forma que ele e respondeu\r\n - Vou acrescentar mais um pouco de azul e vai ficar bom, fique tranquilo.\r\nAlguns minutos depois (e com a adi&ccedil;&atilde;o do vermelho e do preto) pude finalmente ver o resultado final, suspirar aliviado e aprovar a capa.\r\n\r\nAgora uma nova etapa se mostra a minha frente. Passada a f&uacute;ria da tempestade em alto mar, um raio de sol atravessa as grossas nuvens e aponta para uma viagem um pouco mais tranquila. Agora devo procurar um local seguro para aportar, reabastecer o por&atilde;o do navio e seguir viagem. \r\n\r\nNa pr&oacute;xima semana tirarei minhas merecidas f&eacute;rias, mas tudo o que n&atilde;o farei nesse m&ecirc;s &eacute; descansar. Tenho muito trabalho realizando o recall daqueles que compraram o livro durante o lan&ccedil;amento al&eacute;m de entregar umas duas d&uacute;zias de livros a todos os amigos que pacientemente vem aguardando sua c&oacute;pia desde a pr&eacute; venda. Al&eacute;m disso passarei muitos dias pelas ruas de S&atilde;o Paulo visitando todas as boas livrarias da cidade na tentativa de vender meu livro e exp&ocirc;-lo na maior quantidade possivel de lugares. Se isso j&aacute; n&atilde;o bastasse ainda existe os in&uacute;meros contatos que preciso tentar para divulgar o livro e fazer com que os potenciais leitores saibam o b&aacute;sico, que ele existe e esta a venda.\r\n\r\nJunto com esse post encerra-se o segundo ano na longa viagem desse blog. (no dia 06/12 completei dois anos desde a primeira postagem) e &eacute; claro que n&atilde;o poderia encerrar o ano sem um balanco dos principais acontecimentos. 2007 foi um ano turbulento, repleto de reviravoltas e surpresas que mudaram minha vida como nenhum ano o fez anteriormente. \r\n\r\nEm doze meses sobrevivi ao primeiro grande corte da empresa (e nesse corte muitas cabe&ccedil;as rolaram), o que me permitiu conquistar meu espa&ccedil;o e respeito. Lancei um livro que esperei por quase cinco anos apenas para ter de recolh&ecirc;-lo dias depois por problemas que jamais esperei que poderiam ocorrer. Passei seis meses com minha vida em espera enquanto ao mesmo tempo em que corria para corrigir tudo e relan&ccedil;ar o livro minha amada Aninha esperava meu primeiro filho. Pedro nasceu no dia 02/12 e virou minha vida do avesso, pois agora al&eacute;m de escritor tamb&eacute;m me tornei pai. Finalmente ap&oacute;s tanta briga e frustra&ccedil;&atilde;o meu livro saiu da gr&aacute;fica anunciando que 2008 ser&aacute; um ano onde mais do que nunca terei de arriscar tudo em busca do meu sonho de ser escritor. \r\n\r\nDefinitivamente capitanear um navio em mares bravios est&aacute; longe de ser uma tarefa f&aacute;cil.")
[2007-12-31 01:33:38 201.83.4.114   ] INSERT INTO noticia (titulo, data, texto) VALUES ("Recall de \&quot;Pelo Sangue e Pela F&eacute;\&quot;", "2007-12-30 01:25", "Ap&oacute;s seis longos meses de trabalho e cobran&ccedil;as, a nova edi&ccedil;&atilde;o de meu primeiro livro, \&quot;Pelo Sangue e Pela F&eacute;\&quot; ficou pronto. O livro chegar&aacute; a distribuidora no dia 08/01 e a partir dai poder&aacute; ser adquirido pelas livrarias. Ele dever&aacute; estar dispon&iacute;vel para vendas a partir da primeira quinzena de Janeiro. \r\n\r\nO recall daqueles que adquiriram a primeira edi&ccedil;&atilde;o, al&eacute;m dos que fizeram a pr&eacute; venda se inicia no dia 06/01, sendo que todos receber&atilde;o um e-mail com instru&ccedil;&otilde;es de como proceder. Al&eacute;m disso haver&aacute;i um pequeno encontro para aqueles que quiserem (e puderem) comparecer pessoalmente para a troca do livro. O encontro deve ocorrer no segundo final de semana de Janeiro em local e hora a confirmar. Todos ser&atilde;o avisados via e-mail")
[2007-12-31 01:35:48 201.83.4.114   ] login ok
[2007-12-31 01:36:04 201.83.4.114   ] UPDATE post SET titulo = "O Ruidoso Soar das Prensas", url = "o_ruidoso_soar_das_prensas", data = "2007-12-30 00:44", texto = "Quero come&ccedil;ar o post dessa semana me desculpando com meus amigos leitores. Como voc&ecirc;s devem ter percebido o blog passou toda a semana fora do ar por conta de dificuldades t&eacute;cnicas. O servidor que hospeda o site realizou alguma atualiza&ccedil;&atilde;o no sistema de banco de dados impedindo o acesso ao site (basicamente eles trancaram a porta do blog, trocaram a fechadura e n&atilde;o me deram a chave nova). Foi uma longa semana de discuss&atilde;o entre meu webmaster e o suporte at&eacute; normalizar o blog agora a noite.\r\n\r\nVencido esse problema a raz&atilde;o do post dessa semana n&atilde;o podeira ser outra sen&atilde;o o encerramento de uma nova etapa, sen&atilde;o a mais penosa de todas elas, a impress&atilde;o da nova edi&ccedil;&atilde;o corrigida do meu livro. \r\n\r\nEstive na Palas Athena (a gr&aacute;fica respons&aacute;vel pela impress&atilde;o do livro) no dia 19/12 onde tive a oportunidade de ver meu livro \&quot;nascendo\&quot;. &Eacute; dificl explicar a emo&ccedil;&atilde;o de ver aquela montanha de papel rodando em m&aacute;quinas imensas e barulhentas virando o sonho de tantos anos. Eu me aproximava dos palets recheados com as folhas do livro e olhava curioso para ver qual p&aacute;gina era aquela que estava por cima, qual das cenas que eu havia escrito a tanto tempo encontrava-se ali. \r\n\r\nPor fim (e a principal raz&atilde;o da minha visita) fui aprovar a capa que saia em quantidades enormes cada vez que o t&eacute;cnico ajustava algo na cor. &Eacute; at&eacute; curioso pois o primeiro ajuste de capa s&atilde;o das cores azul e amarelas e logo num primeiro momento ela s&oacute; sai dessa forma. Ap&oacute;s alguns testes e ajustes o t&eacute;cnico olhou para mim e perguntou. \r\n - E ent&atilde;o, o que acha da cor? esta bom nesse tom?\r\nEu olhei mei perplexo para o papel com duas cores e meio incerto respondi\r\n - Bem...n&atilde;o sei, esta azul\!\!\! Deve esta bom.\r\nO t&eacute;cnico deu um sorriso confiante de quem as vezes esquece que nem todo mundo consegue ver a capa da mesma forma que ele e respondeu\r\n - Vou acrescentar mais um pouco de azul e vai ficar bom, fique tranquilo.\r\nAlguns minutos depois (e com a adi&ccedil;&atilde;o do vermelho e do preto) pude finalmente ver o resultado final, suspirar aliviado e aprovar a capa.\r\n\r\nAgora uma nova etapa se mostra a minha frente. Passada a f&uacute;ria da tempestade em alto mar, um raio de sol atravessa as grossas nuvens e aponta para uma viagem um pouco mais tranquila. Agora devo procurar um local seguro para aportar, reabastecer o por&atilde;o do navio e seguir viagem. \r\n\r\nNa pr&oacute;xima semana tirarei minhas merecidas f&eacute;rias, mas tudo o que n&atilde;o farei nesse m&ecirc;s &eacute; descansar. Tenho muito trabalho realizando o recall daqueles que compraram o livro durante o lan&ccedil;amento al&eacute;m de entregar umas duas d&uacute;zias de livros a todos os amigos que pacientemente vem aguardando sua c&oacute;pia desde a pr&eacute; venda. Al&eacute;m disso passarei muitos dias pelas ruas de S&atilde;o Paulo visitando todas as boas livrarias da cidade na tentativa de vender meu livro e exp&ocirc;-lo na maior quantidade possivel de lugares. Se isso j&aacute; n&atilde;o bastasse ainda existe os in&uacute;meros contatos que preciso tentar para divulgar o livro e fazer com que os potenciais leitores saibam o b&aacute;sico, que ele existe e esta a venda.\r\n\r\nJunto com esse post encerra-se o segundo ano na longa viagem desse blog. (no dia 06/12 completei dois anos desde a primeira postagem) e &eacute; claro que n&atilde;o poderia encerrar o ano sem um balanco dos principais acontecimentos. 2007 foi um ano turbulento, repleto de reviravoltas e surpresas que mudaram minha vida como nenhum ano o fez anteriormente. \r\n\r\nEm doze meses sobrevivi ao primeiro grande corte da empresa (e nesse corte muitas cabe&ccedil;as rolaram), o que me permitiu conquistar meu espa&ccedil;o e respeito. Lancei um livro que esperei por quase cinco anos apenas para ter de recolh&ecirc;-lo dias depois por problemas que jamais esperei que poderiam ocorrer. Passei seis meses com minha vida em espera enquanto ao mesmo tempo em que corria para corrigir tudo e relan&ccedil;ar o livro minha amada Aninha esperava meu primeiro filho. Pedro nasceu no dia 02/12 e virou minha vida do avesso, pois agora al&eacute;m de escritor tamb&eacute;m me tornei pai. Finalmente ap&oacute;s tanta briga e frustra&ccedil;&atilde;o meu livro saiu da gr&aacute;fica anunciando que 2008 ser&aacute; um ano onde mais do que nunca terei de arriscar tudo em busca do meu sonho de ser escritor. \r\n\r\nDefinitivamente capitanear um navio em mares bravios est&aacute; longe de ser uma tarefa f&aacute;cil." WHERE id = 122
[2007-12-31 01:36:29 201.83.4.114   ] UPDATE post SET titulo = "O Ruidoso Soar das Prensas", url = "o_ruidoso_soar_das_prensas", data = "2007-12-31 00:44", texto = "Quero come&ccedil;ar o post dessa semana me desculpando com meus amigos leitores. Como voc&ecirc;s devem ter percebido o blog passou toda a semana fora do ar por conta de dificuldades t&eacute;cnicas. O servidor que hospeda o site realizou alguma atualiza&ccedil;&atilde;o no sistema de banco de dados impedindo o acesso ao site (basicamente eles trancaram a porta do blog, trocaram a fechadura e n&atilde;o me deram a chave nova). Foi uma longa semana de discuss&atilde;o entre meu webmaster e o suporte at&eacute; normalizar o blog agora a noite.\r\n\r\nVencido esse problema a raz&atilde;o do post dessa semana n&atilde;o podeira ser outra sen&atilde;o o encerramento de uma nova etapa, sen&atilde;o a mais penosa de todas elas, a impress&atilde;o da nova edi&ccedil;&atilde;o corrigida do meu livro. \r\n\r\nEstive na Palas Athena (a gr&aacute;fica respons&aacute;vel pela impress&atilde;o do livro) no dia 19/12 onde tive a oportunidade de ver meu livro \&quot;nascendo\&quot;. &Eacute; dificl explicar a emo&ccedil;&atilde;o de ver aquela montanha de papel rodando em m&aacute;quinas imensas e barulhentas virando o sonho de tantos anos. Eu me aproximava dos palets recheados com as folhas do livro e olhava curioso para ver qual p&aacute;gina era aquela que estava por cima, qual das cenas que eu havia escrito a tanto tempo encontrava-se ali. \r\n\r\nPor fim (e a principal raz&atilde;o da minha visita) fui aprovar a capa que saia em quantidades enormes cada vez que o t&eacute;cnico ajustava algo na cor. &Eacute; at&eacute; curioso pois o primeiro ajuste de capa s&atilde;o das cores azul e amarelas e logo num primeiro momento ela s&oacute; sai dessa forma. Ap&oacute;s alguns testes e ajustes o t&eacute;cnico olhou para mim e perguntou. \r\n - E ent&atilde;o, o que acha da cor? esta bom nesse tom?\r\nEu olhei mei perplexo para o papel com duas cores e meio incerto respondi\r\n - Bem...n&atilde;o sei, esta azul\!\!\! Deve esta bom.\r\nO t&eacute;cnico deu um sorriso confiante de quem as vezes esquece que nem todo mundo consegue ver a capa da mesma forma que ele e respondeu\r\n - Vou acrescentar mais um pouco de azul e vai ficar bom, fique tranquilo.\r\nAlguns minutos depois (e com a adi&ccedil;&atilde;o do vermelho e do preto) pude finalmente ver o resultado final, suspirar aliviado e aprovar a capa.\r\n\r\nAgora uma nova etapa se mostra a minha frente. Passada a f&uacute;ria da tempestade em alto mar, um raio de sol atravessa as grossas nuvens e aponta para uma viagem um pouco mais tranquila. Agora devo procurar um local seguro para aportar, reabastecer o por&atilde;o do navio e seguir viagem. \r\n\r\nNa pr&oacute;xima semana tirarei minhas merecidas f&eacute;rias, mas tudo o que n&atilde;o farei nesse m&ecirc;s &eacute; descansar. Tenho muito trabalho realizando o recall daqueles que compraram o livro durante o lan&ccedil;amento al&eacute;m de entregar umas duas d&uacute;zias de livros a todos os amigos que pacientemente vem aguardando sua c&oacute;pia desde a pr&eacute; venda. Al&eacute;m disso passarei muitos dias pelas ruas de S&atilde;o Paulo visitando todas as boas livrarias da cidade na tentativa de vender meu livro e exp&ocirc;-lo na maior quantidade possivel de lugares. Se isso j&aacute; n&atilde;o bastasse ainda existe os in&uacute;meros contatos que preciso tentar para divulgar o livro e fazer com que os potenciais leitores saibam o b&aacute;sico, que ele existe e esta a venda.\r\n\r\nJunto com esse post encerra-se o segundo ano na longa viagem desse blog. (no dia 06/12 completei dois anos desde a primeira postagem) e &eacute; claro que n&atilde;o poderia encerrar o ano sem um balanco dos principais acontecimentos. 2007 foi um ano turbulento, repleto de reviravoltas e surpresas que mudaram minha vida como nenhum ano o fez anteriormente. \r\n\r\nEm doze meses sobrevivi ao primeiro grande corte da empresa (e nesse corte muitas cabe&ccedil;as rolaram), o que me permitiu conquistar meu espa&ccedil;o e respeito. Lancei um livro que esperei por quase cinco anos apenas para ter de recolh&ecirc;-lo dias depois por problemas que jamais esperei que poderiam ocorrer. Passei seis meses com minha vida em espera enquanto ao mesmo tempo em que corria para corrigir tudo e relan&ccedil;ar o livro minha amada Aninha esperava meu primeiro filho. Pedro nasceu no dia 02/12 e virou minha vida do avesso, pois agora al&eacute;m de escritor tamb&eacute;m me tornei pai. Finalmente ap&oacute;s tanta briga e frustra&ccedil;&atilde;o meu livro saiu da gr&aacute;fica anunciando que 2008 ser&aacute; um ano onde mais do que nunca terei de arriscar tudo em busca do meu sonho de ser escritor. \r\n\r\nDefinitivamente capitanear um navio em mares bravios est&aacute; longe de ser uma tarefa f&aacute;cil." WHERE id = 122
[2007-12-31 01:36:40 201.83.4.114   ] UPDATE noticia SET titulo = "Recall de \&quot;Pelo Sangue e Pela F&eacute;\&quot;", data = "2007-12-31 01:25", texto = "Ap&oacute;s seis longos meses de trabalho e cobran&ccedil;as, a nova edi&ccedil;&atilde;o de meu primeiro livro, \&quot;Pelo Sangue e Pela F&eacute;\&quot; ficou pronto. O livro chegar&aacute; a distribuidora no dia 08/01 e a partir dai poder&aacute; ser adquirido pelas livrarias. Ele dever&aacute; estar dispon&iacute;vel para vendas a partir da primeira quinzena de Janeiro. \r\n\r\nO recall daqueles que adquiriram a primeira edi&ccedil;&atilde;o, al&eacute;m dos que fizeram a pr&eacute; venda se inicia no dia 06/01, sendo que todos receber&atilde;o um e-mail com instru&ccedil;&otilde;es de como proceder. Al&eacute;m disso haver&aacute;i um pequeno encontro para aqueles que quiserem (e puderem) comparecer pessoalmente para a troca do livro. O encontro deve ocorrer no segundo final de semana de Janeiro em local e hora a confirmar. Todos ser&atilde;o avisados via e-mail" WHERE id = 9
[2007-12-31 01:45:40 201.83.4.114   ] UPDATE noticia SET titulo = "Recall de \&quot;Pelo Sangue e Pela F&eacute;\&quot;", data = "2007-12-31 01:25", texto = "Ap&oacute;s seis longos meses de trabalho e cobran&ccedil;as, a nova edi&ccedil;&atilde;o de meu primeiro livro, \&quot;Pelo Sangue e Pela F&eacute;\&quot; ficou pronto. O livro chegar&aacute; a distribuidora no dia 08/01 e a partir dai poder&aacute; ser adquirido pelas livrarias. Ele estar&aacute; dispon&iacute;vel para vendas a partir da primeira quinzena de Janeiro e dever&aacute; chegar primeiro na Fnac e no site Submarino.\r\n\r\nO recall daqueles que adquiriram a primeira edi&ccedil;&atilde;o, al&eacute;m dos que fizeram a pr&eacute; venda se inicia no dia 06/01, sendo que todos receber&atilde;o um e-mail com instru&ccedil;&otilde;es de como proceder. Al&eacute;m disso haver&aacute;i um pequeno encontro para aqueles que quiserem (e puderem) comparecer pessoalmente para a troca do livro. O encontro deve ocorrer no segundo final de semana de Janeiro em local e hora a confirmar. Todos ser&atilde;o avisados via e-mail" WHERE id = 9
[2007-12-31 09:13:57 201.83.4.114   ] login ok
